prioritaet,claude_urteil,claude_konfidenz,claude_begruendung,pattern,oem,modell,anwendung,hmi_typ,can_bus,can_reason,preis_eur,preis_beleg,sprache,reason,bild_url,quell_seite,harvested_at
X,Out-of-Scope,0.95,"Redaktioneller Artikel über Weinbergrobotik; erwähnte Maschinen sind Rad-Roboter (Ted, Jo, Prospr, Rubion, Grape Picker) oder landwirtschaftliche Autonomfahrzeuge, keine kettengetriebenen Bau-/Abbruchmaschinen.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungstechnik oder Hydraulik vorhanden,,,English,"Dies ist ein Nachrichtenartikel/Blog-Beitrag über Weinbergrobotik-Trends, kein Produktdatenblatt. Die erwähnten Maschinen (Ted, Jo, Prospr, Rubion etc.) sind Rad-Roboter oder autonome Fahrzeuge ohne Kettenantrieb, nicht Raupen/Kettenbagger oder Dumper.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=675186954913089&get_thumbnail=1,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
C,Out-of-Scope,0.95,"Obwohl es sich um eine kettengetriebene Maschine handelt, ist sie mit rein mechanischer/hydraulischer Steuerung ausgestattet (keine E-Hydraulik, kein CAN-Bus erkennbar) und daher NICHT nachrüstbar für Funkfernsteuerung – Zielsegment verfehlt.",P16,RAPTOR X MACHINERY,RAPTOR X,Fußgänger-Raupenmulcher,Fußpedal/Vor-Ort,wahrscheinlich rein-hydraulisch,"Keine Erwähnung von CAN, E-Hydraulik oder Steuerungssystemen; Maschine hat manuelle Gangschaltung (3 Vorwärts-, 1 Rückwärtsgang) und Fußplattform, deutet auf rein hydraulische/mechanische Steuerung hin",3594,"£2,995.00 (umgerechnet zu ca. EUR 3594 bei ~1.20 GBP/EUR)",Englisch,Fußpedal/Vor-Ort-Bedienung: 'walk behind or stand on' mit Foot plate zum Stehen während des Betriebs charakterisiert Fußgänger-Bedienung vor Ort,"https://static.wixstatic.com/media/9134e2_3369a928ec2d4937aec868021637da3b~mv2.jpg/v1/fill/w_480,h_360,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/9134e2_3369a928ec2d4937aec868021637da3b~mv2.jpg",https://www.tractorsandflails.com/product-page/raptor-x-pedestrian-track-flail-mower,2026-07-28
X,Out-of-Scope,0.95,"Redaktioneller Artikel über Weinbergrobotik; erwähnte Maschinen sind Rad-Roboter (Ted, Jo, Prospr, Rubion, Grape Picker) oder landwirtschaftliche Autonomfahrzeuge, keine kettengetriebenen Bau-/Abbruchmaschinen.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungstechnik oder Hydraulik vorhanden,,,English,"Dies ist ein Nachrichtenartikel/Blog-Beitrag über Weinbergrobotik-Trends, kein Produktdatenblatt. Die erwähnten Maschinen (Ted, Jo, Prospr, Rubion etc.) sind Rad-Roboter oder autonome Fahrzeuge ohne Kettenantrieb, nicht Raupen/Kettenbagger oder Dumper.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=952843560293388&get_thumbnail=1,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,0.95,"Dies ist ein redaktioneller Artikel über verschiedene Weinberg-Roboter-Technologien, kein Datenblatt oder Produktseite einer einzelnen kettengetriebenen Maschine; zudem fehlen technische Spezifikationen, HMI-Details und Preisangaben.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Englisch,"Der Text ist ein Nachrichtenartikel/Blog-Post über Weinberg-Roboter im Allgemeinen, keine Produktseite oder Datenblatt einer spezifischen kettengetriebenen Maschine.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=459054790210276,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,0.95,"Redaktioneller Artikel über Weinbergrobotik; erwähnte Maschinen sind Rad-Roboter (Ted, Jo, Prospr, Rubion, Grape Picker) oder landwirtschaftliche Autonomfahrzeuge, keine kettengetriebenen Bau-/Abbruchmaschinen.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungstechnik oder Hydraulik vorhanden,,,English,"Dies ist ein Nachrichtenartikel/Blog-Beitrag über Weinbergrobotik-Trends, kein Produktdatenblatt. Die erwähnten Maschinen (Ted, Jo, Prospr, Rubion etc.) sind Rad-Roboter oder autonome Fahrzeuge ohne Kettenantrieb, nicht Raupen/Kettenbagger oder Dumper.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=5669486456512108&get_thumbnail=1,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,1.0,Keine Produktinformationen in der Eingabe enthalten.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden – leere Eingabe,https://www.buncerental.com/itemimages/26295.jpg,https://www.buncerental.com/equipment.asp?action=category&category=33&key=215%2D1920,2026-07-28
X,Out-of-Scope,1.0,"Die Seite ist ein Bauernhof-Onlineshop für Lebensmittel (Leinsamen, Leinöl, Haferflocken, Linsen, Senf, Dinkel-Risotto, Fleischprodukte) – keine kettengetriebene Maschine.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Deutsch,Dies ist eine Bauernhof-Produktseite (Muriboden Hof) mit Lebensmitteln und Fleischprodukten. Keine kettengetriebene Maschine vorhanden.,https://www.myefco.com/media/filer_public/45/cb/45cbd2da-055f-4aa5-9fcd-04993a26a32e/listing___hero_-_tagliaerba.jpg,https://www.muriboden.ch/?s=41643785061100,2026-07-28
X,Out-of-Scope,0.95,"Es handelt sich um ein reines Anbaugerät/Attachment für eine Mini-Skid-Steer-Maschine, nicht um die Zielmaschine selbst; die Seite ist ein Produktkatalog für Zubehör.",P10,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,"Produkt ist ein Anbaugerät (Digger Attachment), nicht die Maschine selbst. Der Text beschreibt eine hydraulische Schaufelanlage für Mini-Skid-Steer-Lader, nicht ein eigenständiges kettengetriebenes Fahrzeug.",https://www.agtequipment.com/cdn/shop/files/CBT23_v2_512x512.png?v=1783611975,https://www.agtequipment.com/products/micro-digger-m-drg?srsltid=AfmBOoqKjd_mNwlg42miyxshjMxINC1UEnVWfNB8PYCbbql_r4_eUIbN,2026-07-28
B,Unsicher,0.4,"Zwar ist Slopehelper ein Kettenroboter im Zielsegment, aber der Nachrichtenartikel enthält keine technischen Daten zu HMI-Typ, Steuerung oder CAN-Bus – zu wenig Information für valide Scope-Einordnung.",P16,PeK Automotive,Slopehelper,Weinberg- und Obstbau-Roboter,unklar,unklar,Keine Angaben zu Steuerungssystem oder Hydraulik-Architektur im Text,,,Englisch,"Keine HMI-Informationen im Text enthalten. Der Robot wird als 'autonomous electrical robot' beschrieben, aber Bedienart/Steuerungstyp nicht spezifiziert.",https://www.futurefarming.com/app/uploads/2022/05/IMG_IMG_20220420_101106.jpg,https://www.futurefarming.com/tech-in-focus/field-robots/two-year-test-with-slopehelper-vineyard-robot-in-slovenia/,2026-07-28
X,Out-of-Scope,0.95,"Akademische Forschungsarbeit über einen fixierten Manipulator-Roboter ohne Kettenantrieb oder Fahrwerk - nicht die Zielmaschine (Bagger, Lader, Dumper auf Raupen/Ketten).",P11,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,"Dies ist ein akademisches IEEE-Papier über einen automatisierten Spritzbeton-Roboterarm (KC 8-DOF Manipulator), kein Serienprodukt. Kein Hinweis auf Kettenantrieb; es handelt sich um einen stationären oder montierungsfähigen Manipulator ohne kettengetriebenes Fahrwerk/Raupen.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=713098118481831,https://airl.csu.edu.cn/PDFs/An_Automatic_Tunnel_Shotcrete_Robot.pdf,2026-07-28
X,Out-of-Scope,1.0,"Die Seite enthält nur den generischen TikTok-Claim 'Make Your Day' ohne jede Produktinformation, Datenblatt oder technische Angaben.",P6,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Deutsch,Keine Produktinformation vorhanden - nur generischer TikTok-Slogan,https://www.tiktok.com/api/img/?itemId=7496503476856507670&location=0&aid=1988,https://www.tiktok.com/@granato_shop/video/7496503476856507670,2026-07-28
