pattern,oem_guess,url,title,snippet,matched_terms,n_terms,source_domain,source_score,strong,llm_urteil,query,harvested_at
P3,Defense Advancement,https://www.defenseadvancement.com/suppliers/eod-bomb-disposal-robots/,EOD & Bomb Disposal Robots,EOD and bomb disposal robots are advanced robotic systems designed to handle and neutralize explosive threats in military and law enforcement operations.,,0,defenseadvancement.com,3,,"Kettengetriebene Roboter mit Fernsteuerung für EOD/Sprengstoffbeseitigung, passe",tracked inspection robot defense military EOD mine crawler manufacturer,2026-07-28
P3,SuperDroid Robots,https://www.superdroidrobots.com/,"SuperDroid Robots | Tactical, Inspection, Development ...","From the compact Gopher crawler to larger tracked platforms, our inspection line delivers reliable video and lighting in tight, dirty, and dangerous places.",crawler,1,superdroidrobots.com,3,,Hersteller von Raupenfahrzeugen (Gopher Crawler) mit Fernsteuerung für Inspektio,tracked inspection robot defense military EOD mine crawler manufacturer,2026-07-28
P3,DefenseScoop,https://defensescoop.com/2026/01/14/eod-robot-l3harris-marine-corps-navy-contract/,L3Harris lands EOD disposal robot award for the Navy and ...,"The T7 robot is a 710-pound tracked ground vehicle that can dispose of hazardous material or improvised explosive devices, according to the ...",,0,defensescoop.com,3,,"L3Harris stellt kettengetriebene EOD-Roboter (T7) mit Fernsteuerung her, passend",tracked inspection robot defense military EOD mine crawler manufacturer,2026-07-28
P3,The Machine Lab,https://www.themachinelab.com/news/2tbkunxuabeniszs1h438427376s1m,"The toughest inspeciton robot crawler out there, MicroTraxx","THE MACHINE LAB, INC specializes in the design and manufacturing of cost effective mobile robot systems for military, law enforcement, ...",crawler,1,themachinelab.com,3,,"Kettengetriebener Inspektionsroboter mit Fernsteuerung, passend zu Klasse P3",tracked inspection robot defense military EOD mine crawler manufacturer,2026-07-28
P3,"Xi'an Supersonic Aviation Technology Co., Ltd",https://www.satuav.com/unmanned-robot/army-eod-robot.html,Army EOD Robot,"The EOD robot can replace the EOD personnel to carry out reconnaissance, transfer, dismantling and destruction of explosive devices;",,0,satuav.com,3,,"Kettengetriebener EOD-Roboter mit Fernsteuerung, passend zu Klasse P3 (mobile Ma",tracked inspection robot defense military EOD mine crawler manufacturer,2026-07-28
P4,YANMAR,https://www.yanmar.com/eu/construction/products/dumper/,Tracked Carriers｜Products｜Compact Equipment,Efficient on all types of terrains … our vast product range of carriers. US Tracked Carriers. Crawler Excavator Attachments. YANMAR Tracked Carriers,crawler,1,yanmar.com,3,,"YANMAR stellt Tracked Carriers (Kettenbagger/Raupenmaschinen) her, die zur Klass",Raupenbagger Kettendumper crawler carrier tracked machine manufacturer Hersteller,2026-07-28
P4,GoldSupplier.com,https://www.goldsupplier.com/discover/discover-the-top-10-raupendumper-manufacturers-worldwide/,Discover the top 10 raupendumper manufacturers worldwide.,"Morooka builds rubber-tracked carriers and has been regarded as a player in the Raupendumper industry. Main products: rubber-tracked carriers, crawler dumpers, ...",crawler,1,goldsupplier.com,3,,"Morooka stellt kettengetriebene Raupendumper/Crawler-Carrier her, die für Fernst",Raupenbagger Kettendumper crawler carrier tracked machine manufacturer Hersteller,2026-07-28
P4,Crawler Carriers,https://www.prinoth-crawlercarriers.com/,Crawler Carriers | Tracked Vehicles - Prinoth - Prinoth,"Optimize utility operations with Panther Crawler Carriers, the leading manufacturer of innovative and sustainable rubber-tracked crawler carriers.",crawler,1,prinoth-crawlercarriers.com,3,,Hersteller von kettengetriebenen Crawler Carriers mit Fernsteuerung/HMI-Potentia,Raupenbagger Kettendumper crawler carrier tracked machine manufacturer Hersteller,2026-07-28
P4,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Tracked_dumpers,Category:Tracked dumpers,"Raupenmuldenkipper, Raupendumper, Kettendumper, Tracked dumper, track dumper, crawler dumper. Tracked dumpers by brand (6 C) Machinery Ltd. ...",crawler,1,commons.wikimedia.org,3,,Hersteller von Raupenmuldenkippern (kettengetriebene Maschinen) mit potenziellem,Raupenbagger Kettendumper crawler carrier tracked machine manufacturer Hersteller,2026-07-28
P4,Bergmann Dumper,https://www.bergmann-dumper.com/en/transport-solutions/,Transport Solutions,"Bergmann Maschinenbau from Meppen stands for quality, innovation, and decades of experience. the crawler dumper has high traction. Equipped with a tracked ...",crawler,1,bergmann-dumper.com,3,,Bergmann Maschinenbau stellt Kettendumper (Raupen-Dumper) her - kettengetriebene,Raupenbagger Kettendumper crawler carrier tracked machine manufacturer Hersteller,2026-07-28
