prioritaet,claude_urteil,claude_konfidenz,claude_begruendung,pattern,oem,modell,anwendung,hmi_typ,can_bus,can_reason,preis_eur,preis_beleg,sprache,reason,bild_url,quell_seite,harvested_at
X,Out-of-Scope,0.95,"Dies ist ein Nachrichtenartikel/Magazin-Beitrag über verschiedene Weinberg-Roboter, nicht eine Produktseite mit technischen Daten einer kettengetriebenen Maschine; die erwähnten Maschinen (Ted, Jo, Prospr, Rubion) sind Rad-/Raupen-Fahrzeuge für Landwirtschaft ohne konkrete Steuerungs- oder Preisangaben.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungssystem oder Hydraulik vorhanden,,,Englisch,"Der Text ist ein Nachrichtenartikel über Weinberg-Roboter, keine Produktseite/Datenblatt einer spezifischen Maschine. Es handelt sich um redaktionelle Inhalte (IWC Awards, Canopy Magazine) ohne technische Spezifikationen.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=675186954913089&get_thumbnail=1,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
C,Out-of-Scope,0.95,"Zwar kettengetriebene Maschine (tracked), aber rein mechanisch/hydraulisch angetrieben ohne CAN/E-Hydraulik-Grundlage – nicht RC-nachrüstbar und zu klein für das Zielmarkt-Segment (Kleingerät unter 4 kW, Fußpedal-Betrieb).",P16,RAPTOR X MACHINERY,RAPTOR X Pedestrian Track Flail mower,Fußpedal-Fräse / Mulchgerät,Fußpedal/Vor-Ort,wahrscheinlich rein-hydraulisch,"Keine CAN-, E-Hydraulik- oder Steuerungssystem-Hinweise. Mechanisch angetriebene Fräse mit Benzinmotor (13.5HP Briggs & Stratton), rein mechanische Getriebeschaltung (3 Vorwärts-, 1 Rückwärtsgang). Gegen-Anker vorhanden: Handbedienung beim Walk-Behind/Stand-On-Betrieb impliziert direkte mechanische Steuerung.",3594,"£2,995.00 (+ 20% VAT) = £3,594.00 ≈ €4,300 (Umrechnung 1 GBP = 1.20 EUR). Primär £2,995.00 als Netto-Listenpreis.",Englisch,Fußpedal/Vor-Ort: 'walk behind or stand on' + 'Foot plate to stand on while operating' = Bedienbedienung vor Ort / Fußbetätigung bei Walk-Behind-Maschine.,"https://static.wixstatic.com/media/9134e2_3369a928ec2d4937aec868021637da3b~mv2.jpg/v1/fill/w_480,h_360,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/9134e2_3369a928ec2d4937aec868021637da3b~mv2.jpg",https://www.tractorsandflails.com/product-page/raptor-x-pedestrian-track-flail-mower,2026-07-28
X,Out-of-Scope,0.95,"Dies ist ein Nachrichtenartikel/Magazin-Beitrag über verschiedene Weinberg-Roboter, nicht eine Produktseite mit technischen Daten einer kettengetriebenen Maschine; die erwähnten Maschinen (Ted, Jo, Prospr, Rubion) sind Rad-/Raupen-Fahrzeuge für Landwirtschaft ohne konkrete Steuerungs- oder Preisangaben.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungssystem oder Hydraulik vorhanden,,,Englisch,"Der Text ist ein Nachrichtenartikel über Weinberg-Roboter, keine Produktseite/Datenblatt einer spezifischen Maschine. Es handelt sich um redaktionelle Inhalte (IWC Awards, Canopy Magazine) ohne technische Spezifikationen.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=952843560293388&get_thumbnail=1,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,0.95,"Dies ist ein Industrieartikel über autonome Weingarten-Roboter (Naïo Ted, Prospr, Jo etc.), bei dem es sich um wheeled/straddle-type Maschinen handelt, nicht um kettengetriebene Raupenmaschinen; zudem fehlen technische Details zu Steuerung und CAN-Bus.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Angaben zur Steuerungsart im Text,,,Englisch,"Artikel über Weingarten-Roboter (autonome/selbstfahrende Maschinen), nicht kettengetrieben; Text bricht ab und enthält keine technischen Spezifikationen zu Antrieb oder Steuerung",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=459054790210276,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Out-of-Scope,0.95,"Dies ist ein Nachrichtenartikel/Magazin-Beitrag über verschiedene Weinberg-Roboter, nicht eine Produktseite mit technischen Daten einer kettengetriebenen Maschine; die erwähnten Maschinen (Ted, Jo, Prospr, Rubion) sind Rad-/Raupen-Fahrzeuge für Landwirtschaft ohne konkrete Steuerungs- oder Preisangaben.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungssystem oder Hydraulik vorhanden,,,Englisch,"Der Text ist ein Nachrichtenartikel über Weinberg-Roboter, keine Produktseite/Datenblatt einer spezifischen Maschine. Es handelt sich um redaktionelle Inhalte (IWC Awards, Canopy Magazine) ohne technische Spezifikationen.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=5669486456512108&get_thumbnail=1,https://www.internationalwinechallenge.com/iwc-insight/new-technology/latest-vineyard-robots.html,2026-07-28
X,Unsicher,0.0,Der Seitentext ist leer oder nicht übermittelt worden.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden - Analyse nicht möglich,https://www.buncerental.com/itemimages/26295.jpg,https://www.buncerental.com/equipment.asp?action=category&category=33&key=215%2D1920,2026-07-28
X,Out-of-Scope,1.0,"Die Seite ist eine Hofshop-Website für Lebensmittel und landwirtschaftliche Produkte, keinerlei Maschinen oder Ausrüstungen.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Deutsch,"Dies ist eine Bauernhof-Website eines Hofladens (Muriboden-Hof) mit Produktliste für Lebensmittel (Leinsamen, Leinöl, Haferflocken, Linsen, Senf, Dinkel-Risotto, Fleisch). Kein Bezug zu kettengetriebenen Maschinen.",https://www.myefco.com/media/filer_public/45/cb/45cbd2da-055f-4aa5-9fcd-04993a26a32e/listing___hero_-_tagliaerba.jpg,https://www.muriboden.ch/?s=41643785061100,2026-07-28
X,Out-of-Scope,0.95,"Das Produkt AGT-M-DRG ist ein Anbaugerät/Attachment für Mini-Skid-Steer-Lader, nicht die Maschine selbst; daher out-of-scope für RC-Nachrüstung.",P10,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,Englisch,"Es handelt sich um ein Anbaugerät (Single Arm Digger Attachment), nicht um eine eigenständige kettengetriebene Maschine. Das Produkt ist ein hydraulisch betriebener Aufsatz für Mini-Skid-Steer-Lader, kein eigenständiges Fahrzeug.",https://www.agtequipment.com/cdn/shop/files/CBT23_v2_512x512.png?v=1783611975,https://www.agtequipment.com/products/micro-digger-m-drg?srsltid=AfmBOoqKjd_mNwlg42miyxshjMxINC1UEnVWfNB8PYCbbql_r4_eUIbN,2026-07-28
B,Unsicher,0.5,"Zwar ist Slopehelper eindeutig ein kettengetriebener Roboter für Weinbergarbeiten, doch fehlen entscheidende Informationen zur Fernsteuerbarkeit, CAN-Bus-Fähigkeit und zum aktuellen Nachrüstungs-Scope; der Text ist zu dünn für ein belastbares Urteil.",P16,PeK Automotive,Slopehelper,Weinberg- und Obstgarten-Roboter,unklar,unklar,Keine Informationen zu Steuerungssystem oder Hydraulik im Text vorhanden,,,Englisch,"Der Text enthält keine Angaben zur Bedienung oder Steuerungsart des Roboters. Es wird nur erwähnt, dass es sich um einen 'autonomous electrical robot' handelt, aber keine Details zu HMI-Typ.",https://www.futurefarming.com/app/uploads/2022/05/IMG_IMG_20220420_101106.jpg,https://www.futurefarming.com/tech-in-focus/field-robots/two-year-test-with-slopehelper-vineyard-robot-in-slovenia/,2026-07-28
X,Out-of-Scope,0.95,"Wissenschaftliche Publikation zu einem Forschungs-Prototyp ohne kommerzielle Verfügbarkeit, keine Produktdaten, keine HMI-Spezifikation und keine Kettenantriebsangabe erkennbar.",P11,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,Keine Informationen zu Steuerungssystem oder CAN-Bus im Text,,,English,"Dies ist eine wissenschaftliche Publikation (IEEE-Paper) über ein experimentelles Forschungsprojekt eines Schrotthammer-Roboters, keine Produktseite oder Datenblatt einer kommerziellen Maschine. Der Text behandelt Kinematik-Modellierung und Trajektorie-Planung ohne konkrete HMI-Angaben.",https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=713098118481831,https://airl.csu.edu.cn/PDFs/An_Automatic_Tunnel_Shotcrete_Robot.pdf,2026-07-28
