prioritaet,claude_urteil,claude_konfidenz,claude_begruendung,pattern,oem,modell,anwendung,hmi_typ,can_bus,can_reason,preis_eur,preis_beleg,sprache,reason,bild_url,quell_seite,harvested_at,dedup_status,pipedrive_firma,pipedrive_anwendung,match_score
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://www.agtequipment.com/cdn/shop/files/s-l1600_7f48e317-85cf-4c98-b0c3-233aaa1706cc_512x583.webp?v=1735245817,https://www.agtequipment.com/collections/machines-powered-by-r740d?srsltid=AfmBOooE81Gisk_7nBVsKNAWZAlyLbqFk4YtEizDp-YWAljW9RMjK4Dz,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P11,,,,unklar,unklar,,,,,,https://www.kuka.com/-/media/kuka-corporate/countries/austria/images/case-studies/baubot-case-study/kuka_baubot_large_image_01_1022x574px.jpg?rev=-1&w=1900&hash=84BE1B61E5288924863DF9202089917F,https://www.kuka.com/en-us/industries/solutions-database/2024/11/baubot-kr-iontec,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,Der bereitgestellte Seitentext ist leer oder enthält keinen verwertbaren Inhalt zur Analyse einer Maschine.,P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Keine Produktseite vorhanden - leerer oder ungültiger Seitentext.,https://ae-pic-a1.aliexpress-media.com/kf/S0d6aece671444d6b901ca9fb567a505dD.jpg,https://www.diversitech-air.com/?g=35899507051430,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://en.energreen.it/wp-content/uploads/2022/03/013_Slide_Mobile_RoboEVO_Head_130_Riverbank_Maintenance_Rev01.jpg,https://en.energreen.it/green-maintenance-machines-energreen/robo-remote-controlled-tool-carriers/radio-controlled-tracked-mower/equipment-for-tracked-mulcher-roboevo/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,"Es wurde kein Seitentext bereitgestellt, daher kann nicht überprüft werden, ob es sich um eine kettengetriebene Maschine handelt.",P10,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,,Kein Seitentext vorhanden,https://sc04.alicdn.com/kf/A3668815a9e1e4a619f5676c249d7c688A.jpg,https://www.alibaba.com/product-detail/VOLNOS-6-5hp-Power-New-Mini_11000023557421.html,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://en.energreen.it/wp-content/uploads/2022/03/14_RoboMAX_TRENCHER_1500_1200x650px.png,https://en.energreen.it/green-maintenance-machines-energreen/robo-remote-controlled-tool-carriers/forestry-mulcher/attachments-robomax/trencher-digger/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://www.jaspwilson.co.uk/wp-content/uploads/2025/01/3bf18c0e998d580980f461042b87a387.jpg,https://www.jaspwilson.co.uk/product-category/fae-remote-control-tracked-carriers/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.99,"Keine kettengetriebene Maschine (4-rädriger Arduino-Roboter), kein kommerzielles Baumaschinen-Segment, sondern DIY-Elektronikprojekt für Bildungszwecke.",P9,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Englisch,"Es handelt sich um einen DIY-Arduino-basierten Kleinroboter mit 4 Rädern (nicht kettengetrieben). Der Text beschreibt ein Elektronik-Schulprojekt, nicht eine kommerzielle kettengetriebene Baumaschine.",https://sunrobotronics.com/assets/images/wRZjfire%20fighting%20robot_watermark%20(1).jpg,https://sunrobotronics.com/blog/fire-fighting-robot?srsltid=AfmBOorRXZo55OMS1nCvO47fk2h5X-UyK7y1hVaUvqNO04eHbCui5OWG,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P16,,,,unklar,unklar,,,,,,https://www.futurefarming.com/app/uploads/2023/01/IMG_Smartmachine2.jpg,https://www.futurefarming.com/tech-in-focus/field-robots/oxin-vineyard-robot-to-compete-in-new-ag-robot-of-the-year-election/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P9,,,,unklar,unklar,,,,,,https://hopetechnik.com/wp-content/uploads/2022/12/image116.png,https://hopetechnik.com/product/firefighting-robot/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://www.jaspwilson.co.uk/wp-content/uploads/2022/05/55-4.jpg,https://www.jaspwilson.co.uk/product/fae-rcu-55-remote-controlled-tracked-carrier/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://movexinnovation.com/wp-content/uploads/2023/10/M27HS_4K-1-e1712670787511.png,https://movexinnovation.com/equipment/mini-loaders/m-27-minidozer/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P6,,,,unklar,unklar,,,,,,https://www.colmac-italia.com/wp-content/uploads/2026/02/Tucano-550-Plus-1.gif,https://www.colmac-italia.com/prodotto/motocarriola-cingolata-con-pedana-operatore/?srsltid=AfmBOooEyvrh_47AtpQ34P_DnxmOA8wNFNWl4e-zwORP_yZyhuaV6oeG,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://houseofcontractors.com/cdn/shop/files/CMFATTACHMENT-Photoroom.jpg?v=1749150752&width=1946,https://houseofcontractors.com/products/cormidi-cmf1200-ri-steel-hydrostatic-track-dumper-1200kg-2646lb-capacity?srsltid=AfmBOorjcKfl7nvUnZerk1Ql1iZacgr9pot94xQA1YigFqfgXlN6oThG,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,"Der Text ist ein reiner Nachrichtenartikel-Titel ohne Produktdaten; unklar ob überhaupt kettengetriebene Maschine, keine technischen Informationen zu Steuerung, CAN-Bus oder Spezifikationen vorhanden.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Englisch,Kein HMI-Typ identifizierbar; es handelt sich um einen Nachrichtenartikel-Titel ohne technische Spezifikationen.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=675186954913089&get_thumbnail=1,https://www.facebook.com/StartupSelfieOfficial/posts/this-little-robot-sprays-an-entire-orchard-by-itself-/1473660408125738/?locale=de_DE,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P16,,,,unklar,unklar,,,,,,https://ecdn6.globalso.com/upload/p/2896/image_other/2026-01/90-6-copies.jpg,https://www.gracegroupltd.com/walk-behind-flail-mower/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,"Der Text ist ein reiner Nachrichtenartikel-Titel ohne Produktdaten; unklar ob überhaupt kettengetriebene Maschine, keine technischen Informationen zu Steuerung, CAN-Bus oder Spezifikationen vorhanden.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Englisch,Kein HMI-Typ identifizierbar; es handelt sich um einen Nachrichtenartikel-Titel ohne technische Spezifikationen.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=952843560293388&get_thumbnail=1,https://www.facebook.com/StartupSelfieOfficial/posts/this-little-robot-sprays-an-entire-orchard-by-itself-/1473660408125738/?locale=de_DE,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.99,"Text behandelt Verbraucherschutzthemen und Beschwerdverwaltung, enthält keinerlei Informationen zu Baumaschinen, Kettenfahrzeugen oder technischen Produkten.",P9,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Thai,"Dies ist die Webseite einer Verbraucherschutzorganisation (มูลนิธิเพื่อผู้บริโภค - Consumer Foundation of Thailand) mit Jahresberichten zu Verbraucherbeschwerden, nicht eine Produktseite oder ein Datenblatt einer kettengetriebenen Maschine.",https://cdn.roboticsbd.com/9690-medium_default/steerease-arduino-based-fire-fighting-robot-plug-and-play-robotics-bangladesh.jpg,https://consumerthai.org/?i=6724902011620,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://image.made-in-china.com/2f0j00jaFelDPJEypT/Ple-Big-Power-Agricultural-New-Robot-Lawn-Mower-Remote-Control-Crawler-Mower.jpg,https://sdplejx.en.made-in-china.com/product/RAipynUVRxrq/China-Ple-Big-Power-Agricultural-New-Robot-Lawn-Mower-Remote-Control-Crawler-Mower.html,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://movexinnovation.com/wp-content/uploads/2023/10/M27HS_Open_4K.png,https://movexinnovation.com/equipment/mini-loaders/al-27-minidozer/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P10,,,,unklar,unklar,,,,,,https://www.seppi.com/wp-content/uploads/H5-rc-MAX-75-le-SEPPI-mulcher-flail-schlegelmulcher-remote-radio-control-tool-carrier-vehicle-funkgesteuert-raupenfahrzeug-portratrezzi-cingolato-radiocomandato-automoteur-bm1.png,https://www.seppi.com/en-us/products/tracked-tool-carriers-and-attachments-3/h5-rc/,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P16,,,,unklar,unklar,,,,,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=459054790210276,https://www.facebook.com/cgtneuropeofficial/posts/chinese-researchers-have-recently-unveiled-an-innovative-apple-picking-robot-whi/1496542729172934/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.95,"Der Text ist ein reiner Nachrichtenartikel-Titel ohne Produktdaten; unklar ob überhaupt kettengetriebene Maschine, keine technischen Informationen zu Steuerung, CAN-Bus oder Spezifikationen vorhanden.",P16,,,AUSSER SCOPE: keine Raupenmaschine,unklar,unklar,,,,Englisch,Kein HMI-Typ identifizierbar; es handelt sich um einen Nachrichtenartikel-Titel ohne technische Spezifikationen.,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=5669486456512108&get_thumbnail=1,https://www.facebook.com/StartupSelfieOfficial/posts/this-little-robot-sprays-an-entire-orchard-by-itself-/1473660408125738/?locale=de_DE,2026-07-28,neu,,,0.0
B,Unsicher,0.0,,P15,,,,unklar,unklar,,,,,,https://en.energreen.it/wp-content/uploads/2021/01/06_Energreen_RoboEVO_Head_130_Mulching_Head_1024x996px.jpg,https://en.energreen.it/green-maintenance-machines-energreen/robo-remote-controlled-tool-carriers/radio-controlled-tracked-mower/equipment-for-tracked-mulcher-roboevo/mulching-head-130/,2026-07-28,neu,,,0.0
X,Out-of-Scope,0.0,"Der Seitentext ist leer oder wurde nicht bereitgestellt, daher kann keine Analyse durchgeführt werden.",P16,,,AUSSER SCOPE: keine Raupenmaschine,,,,,,,Keine Seitendaten vorhanden,https://www.buncerental.com/itemimages/26295.jpg,https://www.buncerental.com/equipment.asp?action=category&category=33&key=215%2D1920,2026-07-28,neu,,,0.0
